Fecha,Promedio,Maximo,Minimo
2020-01-01,36,207,4
2020-01-02,7,11,6
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,7,13,4
2020-01-07,11,17,6
2020-01-08,15,54,6
2020-01-09,16,26,8
2020-01-10,20,34,12
2020-01-11,18,34,8
2020-01-12,16,26,9
2020-01-13,16,23,9
2020-01-14,14,28,8
2020-01-15,13,29,4
2020-01-16,18,42,8
2020-01-17,17,30,7
2020-01-18,17,27,3
2020-01-19,11,18,5
2020-01-20,10,20,5
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,5,12,2
2020-01-24,5,12,1
2020-01-25,6,17,1
2020-01-26,6,18,1
2020-01-27,8,21,2
2020-01-28,10,23,5
2020-01-29,12,21,5
2020-01-30,12,23,5
2020-01-31,14,27,7
2020-02-01,15,28,7
2020-02-02,11,17,5
2020-02-03,13,22,7
2020-02-04,15,27,9
2020-02-05,16,25,7
2020-02-06,13,21,5
2020-02-07,15,26,8
2020-02-08,15,23,3
2020-02-09,11,20,3
2020-02-10,13,18,6
2020-02-11,15,33,5
2020-02-12,11,20,3
2020-02-13,10,18,6
2020-02-14,15,28,7
2020-02-15,15,33,8
2020-02-16,15,31,9
2020-02-17,15,23,5
2020-02-18,21,43,12
2020-02-19,20,30,14
2020-03-07,7,10,2
2020-03-08,12,25,3
2020-03-09,14,26,9
2020-03-10,17,42,11
2020-03-11,14,21,0
2020-03-12,15,28,9
2020-03-13,15,34,9
2020-03-14,12,23,5
2020-03-15,12,29,7
2020-03-16,12,17,8
2020-04-20,6,15,1
2020-04-21,6,21,1
2020-04-22,7,13,3
2020-04-23,11,20,4
2020-04-24,13,20,8
2020-04-25,15,30,7
2020-04-26,12,20,6
2020-04-27,15,26,8
2020-04-28,13,23,7
2020-04-29,14,27,7
2020-04-30,17,28,8
2020-05-01,18,34,11
2020-05-02,17,27,10
2020-05-03,15,19,10
2020-05-04,17,27,10
2020-05-05,15,27,1
2020-05-06,12,21,1
2020-05-07,13,30,3
